category,name,structure,CAS,mw,mp,density
"acrylic acid, ester",3-(dimethylamino)propyl acrylate,H2C=CHC(O)O(CH2)3N(CH3)2,18526-07-3,157.22,,0.928
"acrylic acid, ester",dipentaerythritol pentaacrylate,"H2C=CHC(O)OR,  R=(-CH2)3CCH2OCH2C(CH2OH)(CH2-)2",60506-81-2,524.53,,1.1915
"acrylic acid, ester",dipropylene glycol diacrylate,"H2C=CHC(O)OR,  R=(-CH2CH(CH3)OCH2CH(CH3)-)",85136-76-1,242.27,,
"acrylic acid, ester",ditrimethylolpropane tetraacrylate,"H2C=CHC(O)OR,  R=((-CH2)2C(CH2CH3)CH2)2O",94108-97-1,466.53,,1.101
"acrylic acid, ester",dodecyl acrylate,H2C=CHC(O)O(CH2)11CH3,2156-97-0,240.39,,0.884
"acrylic acid, ester","1H,1H,11H-eicosafluoroundecyl acrylate",H2C=CHC(O)OCH2(CF2)9CHF2,4998-38-3,586.17,49,
"acrylic acid, ester",2-(2-ethoxyethoxy)ethyl acrylate,H2C=CHC(O)O(CH2CH2O)2CH2CH3,7328-17-8,188.23,,1.016
"acrylic acid, ester",2-ethoxyethyl acrylate,H2C=CHC(O)OCH2CH2OCH2CH3,106-74-1,144.17,,0.9819
"acrylic acid, ester",ethyl acrylate,H2C=CHC(O)OCH2CH3,140-88-5,100.12,-72,0.924
"acrylic acid, ester",ethyl 2-cyanoacrylate,H2C=C(CN)C(O)OCH2CH3,7085-85-0,125.13,-17,1.069
"acrylic acid, ester",ethylene diacrylate,"H2C=CHC(O)OR,  R=(-CH2CH2-)",2274-11-05,170.16,,1.09
"acrylic acid, ester",2-ethylhexyl acrylate,"H2C=CHC(O)OR,  R=CH2CH(CH2CH3)(CH2)3CH3",103-11-7,184.28,-90,0.8859
"acrylic acid, ester",furfuryl acrylate,H2C=CHC(O)OCH2C4H3O,10525-17-4,152.15,,1.1125
"acrylic acid, ester",glycerol propoxylate triacrylate,"H2C=CHC(O)OR,  R=-CH(CH3)CH2OCH(CH2OCH2CH(CH3)-)2",52408-84-1,428.0,,1.064
"acrylic acid, ester",glycidyl acrylate,"H2C=CHC(O)OR,  R=CH2CH(-O-)CH2",106-90-1,128.13,,1.099
"acrylic acid, ester","1H,1H,2H,2H-heptadecafluorodecyl acrylate",H2C=CHC(O)OCH2CH2(CF2)7CF3,27905-45-9,518.1,,
"acrylic acid, ester","1H,1H-heptafluorobutyl acrylate",H2C=CHC(O)OCH2CF2CF2CF3,424-64-6,254.11,,1.418
"acrylic acid, ester",heptyl acrylate,H2C=CHC(O)O(CH2)6CH3,2499-58-3,170.25,,0.8846
"acrylic acid, ester",hexadecyl acrylate,H2C=CHC(O)O(CH2)15CH3,13402-02-3,296.5,,0.862
"acrylic acid, ester","2,2,3,4,4,4-hexafluorobutyl acrylate",H2C=CHC(O)OCH2CF2CHFCF3,54052-90-3,236.11,,1.398
"acrylic acid, ester",1H-hexafluoroisoporpyl acrylate,H2C=CHC(O)OCH(CF3)2,2160-89-6,222.09,,1.33
"acrylic acid, ester",hexanediol diacrylate,"H2C=CHC(O)OR,  R=(-(CH2)6-)",13048-33-4,226.28,,1.01
"acrylic acid, ester",n-hexyl acrylate,H2C=CHC(O)O(CH2)5CH3,2499-95-8,156.23,-45,0.8882
"acrylic acid, ester",4-hydroxybutyl acrylate,H2C=CHC(O)O(CH2)4OH,2478-10-06,144.17,,1.039
"acrylic acid, ester",2-hydroxyethyl acrylate,H2C=CHC(O)OCH2CH2OH,818-61-1,116.11,-101,1.011
"acrylic acid, ester",2-hydroxy-3-phenoxypropyl acrylate,H2C=CHC(O)OCH2CH(OH)CH2OC6H5,16969-10-1,222.24,,1.16
"acrylic acid, ester",2-hydroxypropyl acrylate,H2C=CHC(O)OCH2CH(OH)CH3,999-61-1,130.15,-92,1.05
"acrylic acid, ester",isobornyl acrylate,H2C=CHC(O)OC10H18,5888-33-5,208.3,-15,0.986
"acrylic acid, ester",isobutyl acrylate,H2C=CHC(O)OCH2CH(CH3)2,106-63-8,128.19,-61,0.8896
"acrylic acid, ester",isobutyl 2-cyanoacrylate,H2C=C(CN)C(O)OCH2CH(CH3)2,1069-55-2,153.18,,
"acrylic acid, ester",isodecyl acrylate,H2C=CHC(O)O(CH2)7CH(CH3)2,1330-61-6,212.34,-100,0.875
"acrylic acid, ester",isooctyl acrylate,H2C=CHC(O)O(CH2)5CH(CH3)2,29590-42-9,184.25,,0.88
"acrylic acid, ester",isopropyl acrylate,H2C=CHC(O)OCH(CH3)2,689-12-3,114.14,,0.8932
"acrylic acid, ester",methallyl acrylate,H2C=CHC(O)OCH2C(CH3)=CH2,818-67-7,126.16,,0.9285
"acrylic acid, ester",2-(2-methoxyethoxy)ethyl acrylate,H2C=CHC(O)OCH2CH2OCH2CH2OCH3,7328-18-9,174.2,,1.0421
"acrylic acid, ester",2-methoxyethyl acrylate,H2C=CHC(O)OCH2CH2OCH3,3121-61-7,130.14,,1.012
"acrylic acid, ester",methyl acrylate,H2C=CHC(O)OCH3,96-33-3,86.09,-75,0.956
"acrylic acid, ester",2-(N-morpholino)ethyl acrylate,H2C=CHC(O)OCH2CH2NC4H8O,19727-38-9,185.2,,1.0711
"acrylic acid, ester",1-naphthyl acrylate,H2C=CHC(O)OC10H7,20069-66-3,198.22,,
"acrylic acid, ester",2-naphthyl acrylate,H2C=CHC(O)OC10H7,52684-34-1,198.22,,
"acrylic acid, ester",neopentyl acrylate,H2C=CHC(O)OCH2C(CH3)3,4513-36-4,142.24,,0.859
"acrylic acid, ester",neopentyl glycol diacrylate,"H2C=CHC(O)OR,  R=(-CH2C(CH3)2CH2-)",2223-82-7,212.25,,1.03
"acrylic acid, ester",octadecyl acrylate,H2C=CHC(O)O(CH2)17CH3,4813-57-4,324.55,32,0.8
"acrylic acid, ester","1H,1H,5H-octafluoropentyl acrylate",H2C=CHC(O)OCH2(CF2)3CF2H,376-84-1,286.12,,
"acrylic acid, ester",n-octyl acrylate,H2C=CHC(O)O(CH2)7CH3,2499-59-4,184.28,,0.881
"acrylic acid, ester","1H,1H-pentadecafluorooctyl acrylate",H2C=CHC(O)OCH2(CF2)6CF3,307-98-2,454.13,,1.63
"acrylic acid, ester",pentaerythritol stearate diacrylate,"H2C=CHC(O)OR,  R=(-CH2)2C(CH2OH)CH2OC(O)(CH2)16CH3",92092-01-8,510.72,30,1.018
"acrylic acid, ester",pentaerythritol tetraacrylate,"H2C=CHC(O)OR,  R=(-CH2)4C",4986-89-4,352.34,18,1.19
"acrylic acid, ester","2,2,3,3,3-pentafluoropropyl acrylate",H2C=CHC(O)OCH2CF2CF3,356-86-5,204.1,,1.32
