polymer,mp,mw
"Poly(N,N'-dimethyl-4,4'-methylenediphenylene terephthalamide)",264.0,356.42
"Poly(N,N'-dimethyl-Si-tetramethyl-tetramethylene disiloxanylenedipropionamide)",120.0,358.63
"Poly(N,N'-dimethyl-hexamethylene adipamide)",75.0,254.37
"Poly(N,N'-dimethyl-hexamethylene octadecanediamide)",52.0,422.7
"Poly(N,N'-dimethyl-p-xylylene hexadecanediamide)",85.0,414.63
"Poly(N,N'-dimethyl-p-xylylene octadecanediamide)",80.0,442.69
"Poly(N,N'-dimethyl-tetramethylene succinamide)",123.0,198.27
"Poly(N,N'-dimethyl-tetramethylene terephthalamide)",272.0,246.31
"Poly(N,N'-dimethyl-trimethylene terephthalamide) (diamine)",220.0,232.28
"Poly(N,N'-dipropyl-3,3'-dimethyl-4,4'-methylenediphenylene terephthalamide) (diamine)",190.0,440.59
"Poly(N,N'-dipropyl-4,4'-methylenediphenylene terephthalamide)",156.0,412.53
"Poly(N,N'-lysyl nonamethylenediurea) methyl ester",185.0,370.49
"Poly(N,N'-lysyl pentamethylenediurea) methyl ester",175.0,314.38
"Poly(N,N'-lysyl propylenediurea) methyl ester racemic",175.0,286.33
"Poly(N,N'-lysyl tetramethylenediurea) methyl ester",185.0,300.36
"Poly(N,N'-lysyl trimethylenediurea) methyl ester",205.0,286.33
"Poly(N,N'-lysylurea) methyl ester",175.0,186.21
"Poly(N,N'-methylenediterephthalamic anhydride)",330.0,324.29
Poly(N-2-naphthoyl-ethylene amine),258.0,197.24
Poly(N-acetyl-ethylene amine),200.0,85.11
Poly(N-cyclohexanecarbonyl-ethylene amine),285.0,153.22
Poly(N-dodecanoyl-ethylene amine),155.0,225.38
"Poly(N-ethyl-2-imino-1,3-dithiapentamethylene)",68.0,147.25
"Poly(N-methyl-2,5-pyrroledipropionic anhydride)",188.0,207.223
"Poly(N-methyl-2,5-tetrahydropyrroledipropionic anhydride)",103.0,211.26
"Poly(N-methyl-2-imino-1,3-dithiapentamethylene)",89.0,133.23
Poly(N-methyl-hexamethylene adipamide),145.0,240.35
Poly(N-octadecanoyl-ethylene amine),145.0,309.54
Poly(N-perfluorooctanoyl-ethylene amine),245.0,439.12
